Model,Accuracy,F1 Score
Logistic Regression,0.7931769722814499,0.5918653576437588
Decision Tree,0.7157071783937455,0.47368421052631576
Random Forest,0.7931769722814499,0.5650224215246636
Support Vector Machine,0.7341862117981521,0.0
